sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,ndcg@20,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,current_config,Give It To Me Baby,Rick James,173,356,0.0,68,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,17,False,False,False,False,True,True,True,False,False,False,True,True
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,current_config,Test Drive,John Powell,561,556,0.0,180,dense.clap_text.sonic_nl.audio_laion_clap,15,False,False,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,current_config,Armature,Emptyset,58,58,0.0,12,dense.clap_text.sonic.audio_laion_clap,16,False,False,True,True,True,True,True,False,False,True,True,True
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,current_config,Mercy,Muse,,,0.0,334,centroid.anchor_tracks.audio_laion_clap,17,False,False,False,False,False,False,True,False,False,False,False,False
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,current_config,I Can't Go to Sleep,Wu-Tang Clan,877,877,0.0,34,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,17,False,False,False,True,True,True,True,False,False,False,False,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,current_config,The Carbon Stampede,Cattle Decapitation,208,241,0.0,76,centroid.anchor_tracks.cf_bpr,16,False,False,False,False,True,True,True,False,False,False,False,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,current_config,Shaft,Kashmere Stage Band,,,0.0,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,14,False,False,False,True,True,True,True,False,False,False,False,False
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,current_config,In the Shadows,The Rasmus,,,0.0,103,centroid.user.cf_bpr,16,False,False,False,False,False,True,True,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,current_config,I Believe in a Thing Called Love,The Darkness,,,0.0,,,15,False,False,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,current_config,Move Along,The All-American Rejects,176,404,0.0,103,centroid.anchor_tracks.audio_laion_clap,17,False,False,False,False,False,True,True,False,False,False,True,True
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,current_config,S&M,Rihanna,134,134,0.0,40,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,15,False,False,False,True,True,True,True,False,False,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,current_config,Used To,"Lil Wayne, Drake",,995,0.0,258,dense.clap_text.sonic.audio_laion_clap,13,False,False,False,False,False,False,True,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,current_config,The Analog Kid,Rush,347,347,0.0,72,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,13,False,False,False,False,True,True,True,False,False,False,False,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,current_config,Transcentience,Animals As Leaders,,,0.0,102,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,current_config,God Hates a Coward,Tomahawk,251,260,0.0,3,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,16,False,False,True,True,True,True,True,False,False,False,False,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,current_config,Redneck Yacht Club,Craig Morgan,36,62,0.0,55,dense.clap_text.sonic_nl.audio_laion_clap,17,False,False,False,False,True,True,True,False,True,True,True,True
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,current_config,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,31,65,0.0,9,lookup.era_popularity,16,False,False,True,True,True,True,True,False,True,True,True,True
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,current_config,Woo Hah!! Got You All In Check,Busta Rhymes,175,215,0.0,18,centroid.anchor_tracks.audio_laion_clap,16,False,False,True,True,True,True,True,False,False,False,True,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,current_config,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",10,9,0.2890648263178879,1,centroid.anchor_tracks.audio_laion_clap,17,False,False,True,True,True,True,True,True,True,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,current_config,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,0.0,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,failure,current_config,Without You,Christina Aguilera,,,0.0,243,centroid.anchor_tracks.audio_laion_clap,16,False,False,False,False,False,False,True,False,False,False,False,False
5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc::t8,P0_new_artist_union20_gap_failure,failure,current_config,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,266,266,0.0,22,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,14,False,False,False,True,True,True,True,False,False,False,False,True
4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a::t4,P0_new_artist_union20_gap_failure,failure,current_config,Goodbye Pork Pie Hat,Charles Mingus,339,326,0.0,165,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,True
5861afef-85c0-4163-b8b9-5a11e308f352::t4,P0_new_artist_union20_gap_failure,failure,current_config,Carmesí,Vicente Garcia,199,218,0.0,65,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,False,False,True,True,True,False,False,False,True,True
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,failure,current_config,Hong Kong 2046,Hong Kong Express,,,0.0,335,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,15,False,False,False,False,False,False,True,False,False,False,False,False
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,P0_new_artist_union20_gap_failure,failure,current_config,Sunrise - Slow Hands Remix,Kasper Bjørke,657,732,0.0,104,centroid.user.cf_bpr,17,False,False,False,False,False,True,True,False,False,False,False,True
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,failure,current_config,Sparks,Hilary Duff,192,401,0.0,83,bm25,14,False,False,False,False,True,True,True,False,False,False,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,failure,current_config,Acknowledge,Masta Ace,272,383,0.0,105,centroid.user.cf_bpr,17,False,False,False,False,False,True,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,failure,current_config,Two To Make It Right,Seduction,406,654,0.0,183,centroid.anchor_tracks.audio_laion_clap,17,False,False,False,False,False,True,True,False,False,False,False,True
ba68a3cc-5278-4680-917a-4ca66d33ef31::t5,P0_new_artist_union20_gap_failure,failure,current_config,Buttons,The Pussycat Dolls,477,693,0.0,79,centroid.anchor_tracks.image_siglip2,17,False,False,False,False,True,True,True,False,False,False,False,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,failure,current_config,Love Train,The O'Jays,413,549,0.0,141,bm25,16,False,False,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,failure,current_config,Leraine,Kettel,22,39,0.0,7,dense.clap_text.sonic_nl_enriched.audio_laion_clap,17,False,False,True,True,True,True,True,False,True,True,True,True
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,P1_temporal_constraint_failure,failure,current_config,Gangsta Gangsta,N.W.A.,,845,0.0,142,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,18,False,False,False,False,False,True,True,False,False,False,False,False
9468e467-d396-461b-be29-b30b6cf87c35::t5,P1_temporal_constraint_failure,failure,current_config,Midnight,A Tribe Called Quest,,,0.0,180,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,17,False,False,False,False,False,True,True,False,False,False,False,False
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,P1_temporal_constraint_failure,failure,current_config,Dear Yvette,"Jane Doe, Masta Ace",,,0.0,113,centroid.user.cf_bpr,15,False,True,False,False,False,True,True,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t3,P1_temporal_constraint_failure,failure,current_config,Conquest of Paradise,Vangelis,,,0.0,317,bm25,16,False,False,False,False,False,False,True,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,failure,current_config,Thriller,Fall Out Boy,,,0.0,479,bm25,18,False,False,False,False,False,False,True,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,failure,current_config,Breath and Life,Audiomachine,356,232,0.0,27,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,13,False,False,False,True,True,True,True,False,False,False,False,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,P1_temporal_constraint_failure,failure,current_config,I Juswanna Chill,Large Professor,811,514,0.0,228,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,17,False,False,False,False,False,False,True,False,False,False,False,True
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,failure,current_config,Constant Craving - Remastered,k.d. lang,880,478,0.0,146,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,17,False,False,False,False,False,True,True,False,False,False,False,True
4d0afb6b-3705-493f-ab16-ca75ea311e1a::t7,P1_rejection_guardrail_failure,failure,current_config,Pilot,"Benjamin Wallfisch, Hans Zimmer",64,7,0.0,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,16,False,False,True,True,True,True,True,False,False,True,True,True
1e14a07f-7369-4d24-9285-9343b6b18353::t8,P1_rejection_guardrail_failure,failure,current_config,Nordlys,Myrkur,4,3,0.43067655807339306,14,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,16,False,False,True,True,True,True,True,True,True,True,True,True
d265b5a9-af57-4070-90f5-692a960c5aaa::t6,P1_rejection_guardrail_failure,failure,current_config,Get Lucky (feat. Pharrell Williams &amp; Nile Rodgers) - Radio Edit,"Nile Rodgers, Pharrell Williams, Daft Punk",,,0.0,6,centroid.anchor_tracks.cf_bpr,17,False,True,True,True,True,True,True,False,False,False,False,False
b2582e52-6d13-40b4-8552-2d8b63fa6c75::t8,P1_rejection_guardrail_failure,failure,current_config,Soil,System Of A Down,,,0.0,11,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,16,False,True,True,True,True,True,True,False,False,False,False,False
d265b5a9-af57-4070-90f5-692a960c5aaa::t8,P1_rejection_guardrail_failure,failure,current_config,Motherboard,Daft Punk,,,0.0,506,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,14,False,True,False,False,False,False,True,False,False,False,False,False
3a4224d3-1e5b-4bb9-a424-886d5c45d5d3::t8,P1_rejection_guardrail_failure,failure,current_config,Brain Relaxation Sky,Sample Rain Library,13,8,0.26264953503719357,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,17,False,False,True,True,True,True,True,True,True,True,True,True
963b3ee7-17d1-4bb3-8a3f-0bc528a1f096::t5,P1_rejection_guardrail_failure,failure,current_config,Go Go Gadget Flow,Lupe Fiasco,,,0.0,20,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,14,False,True,True,True,True,True,True,False,False,False,False,False
08bea603-846a-428b-aa27-de4dfede7ba9::t8,P1_rejection_guardrail_failure,failure,current_config,Silhouette,Julia Holter,,,0.0,,,13,False,True,False,False,False,False,False,False,False,False,False,False
0fc60312-9a9d-4658-a950-06fc2441a2ac::t8,P1_rejection_guardrail_failure,failure,current_config,Music Will Untune the Sky,Have A Nice Life,,,0.0,807,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,13,False,False,False,False,False,False,True,False,False,False,False,False
3ebc2b49-0f5c-4161-bbcf-e1615821103f::t2,P1_rejection_guardrail_failure,failure,current_config,The Animus 2.0,Jesper Kyd,7,6,0.3333333333333333,3,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,16,False,False,True,True,True,True,True,True,True,True,True,True
37097db6-54b8-491b-8512-1df70648548b::t2,P0_named_artist_ranker_failure,failure,current_config,White Ferrari,Frank Ocean,17,16,0.23981246656813146,1,centroid.anchor_tracks.image_siglip2,16,False,False,True,True,True,True,True,True,True,True,True,True
f4115525-7e44-40df-8957-e38df99f214d::t4,P0_named_artist_ranker_failure,failure,current_config,Young And Beautiful,Lana Del Rey,20,20,0.227670248696953,1,lookup.resolved_artist_discography,17,False,False,True,True,True,True,True,True,True,True,True,True
eee89ca2-fc86-4a9a-b4c5-2d77cb3346c8::t7,P0_named_artist_ranker_failure,failure,current_config,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,67,67,0.0,3,centroid.anchor_tracks.cf_bpr,15,False,False,True,True,True,True,True,False,False,True,True,True
44c3948c-bc44-4e40-ae77-82c2fec9c944::t7,P0_named_artist_ranker_failure,failure,current_config,Me Dediqué a Perderte,"Alejandro Fernandez, Alejandro Fernández",,,0.0,1,centroid.anchor_tracks.cf_bpr,16,False,True,True,True,True,True,True,False,False,False,False,False
899f906b-9b0b-42a6-9689-643eb9f1ed31::t8,P0_named_artist_ranker_failure,failure,current_config,Crawling,Linkin Park,,,0.0,19,bm25,17,False,True,True,True,True,True,True,False,False,False,False,False
93199894-d3db-4335-8278-e1be175944e4::t6,P0_named_artist_ranker_failure,failure,current_config,Smells Like Teen Spirit,Nirvana,879,879,0.0,214,bm25,13,False,False,False,False,False,False,True,False,False,False,False,True
7d2bb60e-1046-4956-91d0-cf1dd73037cc::t3,P0_named_artist_ranker_failure,failure,current_config,Hung Up,Madonna,22,33,0.0,1,lookup.resolved_artist_discography,16,False,False,True,True,True,True,True,False,True,True,True,True
