sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000,protected_best_branch,protected_best_branch_rank,branch_only_best_branch,branch_only_best_branch_rank,additive_best_branch,additive_best_branch_rank,protected_union@20,protected_union@50,protected_union@100,branch_only@20,branch_only@50,branch_only@100,additive_union@20,additive_union@50,additive_union@100
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,Give It To Me Baby,Rick James,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,Test Drive,John Powell,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,Armature,Emptyset,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,Mercy,Muse,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,I Can't Go to Sleep,Wu-Tang Clan,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,The Carbon Stampede,Cattle Decapitation,,,319,analysis.artist_neighbor_scene_weighted_v3,1,False,False,False,False,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_weighted_v3,319,analysis.artist_neighbor_scene_weighted_v3,319,False,False,False,False,False,False,False,False,False
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,Shaft,Kashmere Stage Band,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,In the Shadows,The Rasmus,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,I Believe in a Thing Called Love,The Darkness,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,artist_neighbor_scene_weighted_v3,Move Along,The All-American Rejects,,,23,analysis.artist_neighbor_scene_weighted_v3,1,False,True,True,True,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_weighted_v3,23,analysis.artist_neighbor_scene_weighted_v3,23,False,False,False,False,True,True,False,True,True
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,S&M,Rihanna,,,36,analysis.artist_neighbor_scene_weighted_v3,1,False,True,True,True,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_weighted_v3,36,analysis.artist_neighbor_scene_weighted_v3,36,False,False,False,False,True,True,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,Used To,"Lil Wayne, Drake",,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,The Analog Kid,Rush,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,Transcentience,Animals As Leaders,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,God Hates a Coward,Tomahawk,,,576,analysis.artist_neighbor_scene_weighted_v3,1,False,False,False,False,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_weighted_v3,576,analysis.artist_neighbor_scene_weighted_v3,576,False,False,False,False,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,Redneck Yacht Club,Craig Morgan,,,214,analysis.artist_neighbor_scene_weighted_v3,1,False,False,False,False,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_weighted_v3,214,analysis.artist_neighbor_scene_weighted_v3,214,False,False,False,False,False,False,False,False,False
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,,,607,analysis.artist_neighbor_scene_weighted_v3,1,False,False,False,False,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_weighted_v3,607,analysis.artist_neighbor_scene_weighted_v3,607,False,False,False,False,False,False,False,False,False
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,Woo Hah!! Got You All In Check,Busta Rhymes,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",,,885,analysis.artist_neighbor_scene_weighted_v3,1,False,False,False,False,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_weighted_v3,885,analysis.artist_neighbor_scene_weighted_v3,885,False,False,False,False,False,False,False,False,False
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,artist_neighbor_scene_weighted_v3,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,,,1,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,failure,artist_neighbor_scene_weighted_v3,Without You,Christina Aguilera,,,194,analysis.artist_neighbor_scene_weighted_v3,1,False,False,False,True,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_weighted_v3,194,analysis.artist_neighbor_scene_weighted_v3,194,False,False,False,False,False,False,False,False,False
