sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000,protected_best_branch,protected_best_branch_rank,branch_only_best_branch,branch_only_best_branch_rank,additive_best_branch,additive_best_branch_rank,protected_union@20,protected_union@50,protected_union@100,branch_only@20,branch_only@50,branch_only@100,additive_union@20,additive_union@50,additive_union@100
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Mercy,Muse,,,60,analysis.era_tag_popularity,24,False,False,True,True,True,False,False,False,False,False,,,analysis.era_tag_popularity,60,analysis.era_tag_popularity,60,False,False,False,False,False,True,False,False,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,The Carbon Stampede,Cattle Decapitation,242,282,67,centroid.anchor_tracks.cf_bpr,23,False,False,True,True,True,False,False,False,False,True,,,centroid.anchor_tracks.cf_bpr,67,centroid.anchor_tracks.cf_bpr,67,False,False,False,False,False,True,False,False,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Shaft,Kashmere Stage Band,,,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,21,False,True,True,True,True,False,False,False,False,False,,,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,50,False,False,False,False,True,True,False,True,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,In the Shadows,The Rasmus,,,265,analysis.artist_tag_neighbor_popularity,23,False,False,False,False,True,False,False,False,False,False,,,analysis.artist_tag_neighbor_popularity,265,analysis.artist_tag_neighbor_popularity,265,False,False,False,False,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,I Believe in a Thing Called Love,The Darkness,,,,,22,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Move Along,The All-American Rejects,353,709,39,analysis.artist_neighbor_scene_v2,24,False,True,True,True,True,False,False,False,False,True,,,analysis.artist_neighbor_scene_v2,39,analysis.artist_neighbor_scene_v2,39,False,False,False,False,True,True,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Used To,"Lil Wayne, Drake",,,14,analysis.same_album_fanout,21,True,True,True,True,True,False,False,False,False,False,,,analysis.same_album_fanout,14,analysis.same_album_fanout,14,False,False,False,True,True,True,True,True,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Transcentience,Animals As Leaders,,,100,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,23,False,False,True,True,True,False,False,False,False,False,,,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,100,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,100,False,False,False,False,False,True,False,False,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,God Hates a Coward,Tomahawk,252,261,1,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,23,True,True,True,True,True,False,False,False,False,True,,,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,1,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,1,False,False,False,True,True,True,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,23,False,False,False,True,True,False,False,False,False,False,,,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,101,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Hong Kong 2046,Hong Kong Express,,,381,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,23,False,False,False,False,True,False,False,False,False,False,,,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,381,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,381,False,False,False,False,False,False,False,False,False
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Sunrise - Slow Hands Remix,Kasper Bjørke,,,280,centroid.anchor_tracks.cf_bpr,24,False,False,False,False,True,False,False,False,False,False,,,centroid.anchor_tracks.cf_bpr,280,centroid.anchor_tracks.cf_bpr,280,False,False,False,False,False,False,False,False,False
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Acknowledge,Masta Ace,376,526,148,analysis.artist_neighbor_scene_v2,24,False,False,False,True,True,False,False,False,False,True,,,analysis.artist_neighbor_scene_v2,148,analysis.artist_neighbor_scene_v2,148,False,False,False,False,False,False,False,False,False
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Two To Make It Right,Seduction,412,663,6,analysis.scene_era_tag_popularity_v2,24,True,True,True,True,True,False,False,False,False,True,,,analysis.scene_era_tag_popularity_v2,6,analysis.scene_era_tag_popularity_v2,6,False,False,False,True,True,True,True,True,True
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Gangsta Gangsta,N.W.A.,,,20,analysis.artist_neighbor_scene_v2,25,True,True,True,True,True,False,False,False,False,False,,,analysis.artist_neighbor_scene_v2,20,analysis.artist_neighbor_scene_v2,20,False,False,False,True,True,True,True,True,True
9468e467-d396-461b-be29-b30b6cf87c35::t5,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Midnight,A Tribe Called Quest,,,177,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,24,False,False,False,True,True,False,False,False,False,False,,,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,177,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,177,False,False,False,False,False,False,False,False,False
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Dear Yvette,"Jane Doe, Masta Ace",,,,,22,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_hard_drop,I Juswanna Chill,Large Professor,805,498,227,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,24,False,False,False,False,True,False,False,False,False,True,,,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,227,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,227,False,False,False,False,False,False,False,False,False
ad5348a7-d3bc-4882-bfca-54aa655eac96::t5,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Glitter,"Tyler, The Creator",,,78,analysis.tag_popularity_alias,21,False,False,True,True,True,False,False,False,False,False,,,analysis.tag_popularity_alias,78,analysis.tag_popularity_alias,78,False,False,False,False,False,True,False,False,True
