sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000,protected_best_branch,protected_best_branch_rank,branch_only_best_branch,branch_only_best_branch_rank,additive_best_branch,additive_best_branch_rank,protected_union@20,protected_union@50,protected_union@100,branch_only@20,branch_only@50,branch_only@100,additive_union@20,additive_union@50,additive_union@100
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4,Mercy,Muse,,,61,analysis.era_tag_popularity,24,False,False,True,True,True,False,False,False,False,False,,,analysis.era_tag_popularity,61,analysis.era_tag_popularity,61,False,False,False,False,False,True,False,False,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4,The Carbon Stampede,Cattle Decapitation,240,281,76,centroid.anchor_tracks.cf_bpr,23,False,False,True,True,True,False,False,False,False,True,,,centroid.anchor_tracks.cf_bpr,76,centroid.anchor_tracks.cf_bpr,76,False,False,False,False,False,True,False,False,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4,Shaft,Kashmere Stage Band,,,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,21,False,True,True,True,True,False,False,False,False,False,,,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,50,False,False,False,False,True,True,False,True,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4,In the Shadows,The Rasmus,,,266,analysis.artist_tag_neighbor_popularity,23,False,False,False,False,True,False,False,False,False,False,,,analysis.artist_tag_neighbor_popularity,266,analysis.artist_tag_neighbor_popularity,266,False,False,False,False,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4,I Believe in a Thing Called Love,The Darkness,,,,,22,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4,Move Along,The All-American Rejects,352,710,39,analysis.artist_neighbor_scene_v2,24,False,True,True,True,True,False,False,False,False,True,,,analysis.artist_neighbor_scene_v2,39,analysis.artist_neighbor_scene_v2,39,False,False,False,False,True,True,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4,Used To,"Lil Wayne, Drake",,,14,analysis.same_album_fanout,21,True,True,True,True,True,False,False,False,False,False,,,analysis.same_album_fanout,14,analysis.same_album_fanout,14,False,False,False,True,True,True,True,True,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4,Transcentience,Animals As Leaders,,,102,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,23,False,False,False,True,True,False,False,False,False,False,,,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,102,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,102,False,False,False,False,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4,God Hates a Coward,Tomahawk,252,261,3,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,23,True,True,True,True,True,False,False,False,False,True,,,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,3,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,3,False,False,False,True,True,True,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,23,False,False,False,True,True,False,False,False,False,False,,,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,101,False,False,False,False,False,False,False,False,False
