sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,Give It To Me Baby,Rick James,310,425,181,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,True
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,Test Drive,John Powell,245,241,73,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,15,False,False,False,False,True,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,Armature,Emptyset,235,235,109,dense.clap_text.sonic.audio_laion_clap,15,False,False,False,False,False,True,True,False,False,False,False,True
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,Mercy,Muse,798,951,91,centroid.anchor_tracks.audio_laion_clap,16,False,False,False,False,True,True,True,False,False,False,False,True
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,I Can't Go to Sleep,Wu-Tang Clan,,,118,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,17,False,False,False,False,False,True,True,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,The Carbon Stampede,Cattle Decapitation,139,135,40,dense.clap_text.sonic_nl.audio_laion_clap,15,False,False,False,True,True,True,True,False,False,False,True,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,Shaft,Kashmere Stage Band,,,208,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,13,False,False,False,False,False,False,True,False,False,False,False,False
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,In the Shadows,The Rasmus,,,600,centroid.anchor_tracks.audio_laion_clap,15,False,False,False,False,False,False,True,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,I Believe in a Thing Called Love,The Darkness,,,,,14,False,False,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,current_config_state_features_inplace,Move Along,The All-American Rejects,103,128,52,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,16,False,False,False,False,True,True,True,False,False,False,True,True
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,S&M,Rihanna,201,201,92,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,15,False,False,False,False,True,True,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,Used To,"Lil Wayne, Drake",,,274,dense.clap_text.sonic.audio_laion_clap,13,False,False,False,False,False,False,True,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,The Analog Kid,Rush,49,49,14,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,12,False,False,True,True,True,True,True,False,True,True,True,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,Transcentience,Animals As Leaders,,,405,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,15,False,False,False,False,False,False,True,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,God Hates a Coward,Tomahawk,133,137,16,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,15,False,False,True,True,True,True,True,False,False,False,True,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,Redneck Yacht Club,Craig Morgan,71,78,38,dense.clap_text.sonic_nl.audio_laion_clap,16,False,False,False,True,True,True,True,False,False,True,True,True
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,31,53,30,lookup.era_popularity,16,False,False,False,True,True,True,True,False,True,True,True,True
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,Woo Hah!! Got You All In Check,Busta Rhymes,516,531,202,centroid.anchor_tracks.image_siglip2,16,False,False,False,False,False,False,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",321,283,44,centroid.anchor_tracks.image_siglip2,16,False,False,False,True,True,True,True,False,False,False,False,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_features_inplace,Gib ihn einfach (Dies das 2),Ghanaian Stallion,965,965,128,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,15,False,False,False,False,False,True,True,False,False,False,False,True
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Without You,Christina Aguilera,,,62,centroid.anchor_tracks.audio_laion_clap,15,False,False,False,False,True,True,True,False,False,False,False,False
5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc::t8,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,746,746,107,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,13,False,False,False,False,False,True,True,False,False,False,False,True
4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a::t4,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Goodbye Pork Pie Hat,Charles Mingus,647,627,251,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,15,False,False,False,False,False,False,True,False,False,False,False,True
5861afef-85c0-4163-b8b9-5a11e308f352::t4,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Carmesí,Vicente Garcia,163,164,66,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,15,False,False,False,False,True,True,True,False,False,False,True,True
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Hong Kong 2046,Hong Kong Express,,,283,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,15,False,False,False,False,False,False,True,False,False,False,False,False
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Sunrise - Slow Hands Remix,Kasper Bjørke,608,611,108,centroid.anchor_tracks.cf_bpr,16,False,False,False,False,False,True,True,False,False,False,False,True
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Sparks,Hilary Duff,12,24,1,dense.clap_text.sonic_nl.audio_laion_clap,13,False,False,True,True,True,True,True,True,True,True,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Acknowledge,Masta Ace,268,295,167,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Two To Make It Right,Seduction,385,360,209,dense.clap_text.sonic_nl_enriched.audio_laion_clap,16,False,False,False,False,False,False,True,False,False,False,False,True
ba68a3cc-5278-4680-917a-4ca66d33ef31::t5,P0_new_artist_union20_gap_failure,failure,current_config_state_features_inplace,Buttons,The Pussycat Dolls,205,184,90,centroid.anchor_tracks.image_siglip2,16,False,False,False,False,True,True,True,False,False,False,False,True
