sample_id,pack,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,clap_sonic,Give It To Me Baby,Rick James,267,378,169,lookup.era_popularity,3,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,clap_sonic,Armature,Emptyset,24,24,12,dense.clap_text.sonic.audio_laion_clap,2,True,True,True,True,True,False,True,True,True,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,clap_sonic,The Carbon Stampede,Cattle Decapitation,536,589,289,bm25,2,False,False,False,False,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,clap_sonic,In the Shadows,The Rasmus,,,,,2,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,clap_sonic,Move Along,The All-American Rejects,916,,539,bm25,3,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,clap_sonic,Used To,"Lil Wayne, Drake",588,264,258,dense.clap_text.sonic.audio_laion_clap,3,False,False,False,False,True,False,False,False,False,True
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,clap_sonic,The Analog Kid,Rush,212,212,104,bm25,3,False,False,False,True,True,False,False,False,False,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,clap_sonic,God Hates a Coward,Tomahawk,,,828,bm25,2,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,clap_sonic,Redneck Yacht Club,Craig Morgan,915,,497,bm25,3,False,False,False,False,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,clap_sonic,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",974,945,469,dense.clap_text.sonic.audio_laion_clap,2,False,False,False,False,True,False,False,False,False,True
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,clap_sonic,Without You,Christina Aguilera,,,,,2,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,clap_sonic,Hong Kong 2046,Hong Kong Express,,,,,2,False,False,False,False,False,False,False,False,False,False
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,clap_sonic,Sparks,Hilary Duff,77,148,89,bm25,3,False,False,True,True,True,False,False,True,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,clap_sonic,Acknowledge,Masta Ace,,,705,bm25,3,False,False,False,False,True,False,False,False,False,False
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,clap_sonic,Two To Make It Right,Seduction,523,621,335,dense.clap_text.sonic.audio_laion_clap,3,False,False,False,False,True,False,False,False,False,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,clap_sonic,Love Train,The O'Jays,484,595,193,bm25,3,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,clap_sonic,Leraine,Kettel,,,648,dense.clap_text.sonic.audio_laion_clap,3,False,False,False,False,True,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,clap_sonic,Thriller,Fall Out Boy,956,,530,bm25,4,False,False,False,False,True,False,False,False,False,True
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,clap_sonic,Breath and Life,Audiomachine,,,931,dense.clap_text.sonic.audio_laion_clap,3,False,False,False,False,True,False,False,False,False,False
