sample_id,pack,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,bm25_lookup,Give It To Me Baby,Rick James,261,334,169,lookup.era_popularity,2,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,bm25_lookup,Armature,Emptyset,,,,,1,False,False,False,False,False,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,bm25_lookup,The Carbon Stampede,Cattle Decapitation,282,278,289,bm25,1,False,False,False,False,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,bm25_lookup,In the Shadows,The Rasmus,,,,,1,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,bm25_lookup,Move Along,The All-American Rejects,615,726,539,bm25,2,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,bm25_lookup,Used To,"Lil Wayne, Drake",969,,,,2,False,False,False,False,False,False,False,False,False,True
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,bm25_lookup,The Analog Kid,Rush,106,106,104,bm25,2,False,False,False,True,True,False,False,False,True,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,bm25_lookup,God Hates a Coward,Tomahawk,818,817,828,bm25,1,False,False,False,False,True,False,False,False,False,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,bm25_lookup,Redneck Yacht Club,Craig Morgan,604,691,497,bm25,2,False,False,False,False,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,bm25_lookup,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",,,,,1,False,False,False,False,False,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,bm25_lookup,Without You,Christina Aguilera,,,,,1,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,bm25_lookup,Hong Kong 2046,Hong Kong Express,,,,,1,False,False,False,False,False,False,False,False,False,False
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,bm25_lookup,Sparks,Hilary Duff,111,187,89,bm25,2,False,False,True,True,True,False,False,False,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,bm25_lookup,Acknowledge,Masta Ace,789,903,705,bm25,2,False,False,False,False,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,bm25_lookup,Two To Make It Right,Seduction,803,917,736,bm25,2,False,False,False,False,True,False,False,False,False,True
